CDIAC Number,Issuer,Issuance Documents,Sold Status,Sale Date,ADTR Report,ADTR Filing Status,ADTR Reportable,ADTR Reportable Next Fiscal Year,ADTR Last Reported Year,Debt Policy,Issuer County,MKR Authority,Local Obligation,MKR CDIAC Number,Issuer Group,Issuer Type,Project Name,Principal Amount,New Money,Refunding Amount,Net Issue Discount/Premium,Debt Type,Purpose,Source of Repayment,TIC Interest Rate,NIC Interest Rate,Interest Type,Other Interest Type,Federally Taxable,First Optional Call Date,Final Maturity Date,CAB Flag,S and P Rating,Moody Rating,Fitch Rating,Other Rating,Guarantor Flag,Guarantor,Sale Type (Comp/Neg),Private Placement Flag,Underwriter,Lender,Purchaser,Placement Agent,Financial Advisor,Bond Counsel,Co-Bond Counsel,Disclosure Counsel,Borrower Counsel,Trustee,Issue Costs Pct of Principal Amt,Total Issuance Costs,UW Takedown,UW Mngmt Fee,UW Expenses,UW Total Discount/Spread,Placement Agent Fee,Financial Advisor Fee,Bond Counsel Fee,Co-Bond Counsel Fee,Disclosure Counsel Fee,Borrower Counsel Fee,Trustee Fee,Credit Enhancement Fee,Rating Agency Fee,Other Issuance Expenses
2002-0015,Vacaville Unified School District,2002-0015.pdf (http://cdiacdocs.sto.ca.gov/2002-0015.pdf),SOLD,05/14/2002 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,17575000,17575000,0,,General obligation bond,K-12 School Facility,Property tax revenues,4.871,,TIC,,,08/01/2011 12:00:00 AM,08/01/2026 12:00:00 AM,NO,S:AAA,NOT RATED,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,Stone & Youngberg,,,,,Kronick Moskovitz Tiedemann & Girard,,,,State Street Bank & Trust Company,1.57,275912,,,,166963,,,30000,,12500,,2000,33949,18500,12000
1998-1217,Fairfield Public Financing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/30/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,YES,NO,,JPA & Marks-Roos,Joint Powers Agency,,12300000,0,12300000,,Revenue bond,"Multiple Capital Improvements, Public Works",Local obligations,,5.476,NIC,,,,09/02/2018 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall A Professional Law Corp,,,,Union Bank of California,1.74,213929,,,,159900,,,,,,,,,,
2010-1030,Solano Community College District (CCCFA),2010-1030.pdf (http://cdiacdocs.sto.ca.gov/2010-1030.pdf),SOLD,07/30/2010 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,Community College District,CCCFA 2010 TRAN Pool Series B,5000000,5000000,,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,1.181,,TIC,,,,06/30/2011 12:00:00 AM,N/A,S:SP-1,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,RBC Capital Markets LLC,,,,,Stradling Yocca Carlson & Rauth,,,,Wells Fargo Bank National Association,,,,,,,,,,,,,,,,
1990-0522,Vallejo,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,08/17/1990 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Marine World Foundation,47475000,0,47475000,,Certificates of participation/leases,Recreation and Sports Facilities,General fund of issuing jurisdiction,8.073,,TIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Chilton & O'Connor,,,,Rod Gunn Associates Inc,Jones Hall Hill & White,,,,,0.94,447275,,,,949500,,,,,,,,,,
1992-1054,Vacaville Public Financing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/14/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,Community/I-505/80,15310000,2631119,12678881,,Tax allocation bond,"Redevelopment, Multiple Purposes",Other sources,,6.354,NIC,,,,,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Guarantor Unknown,Comp,Unknown,Bank of America NT & SA,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall Hill & White,,,,,0,0,,,,0,,,,,,,,,,
1996-0097,Dixon Unified School District CFD No 1,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,02/29/1996 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Mello-Roos,Community Facilities District,,846206,846206,0,,Limited tax obligation bond,K-12 School Facility,Special tax revenues,,8.182,NIC,,,,05/01/2007 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,,,LaSalle National Bank,,Government Financial Strategies Inc,Kronick Moskovitz Tiedemann & Girard,,,,,2.45,20747,,,,0,,,,,,,,,,
1987-0737,Solano County,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/14/1987 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Government,,41400000,41400000,0,,Certificates of participation/leases,"Multiple Capital Improvements, Public Works",Tax increment,,,VAR,,,,10/01/2004 12:00:00 AM,N/A,NOT RATED,M:Aa1/VMIG1,NOT RATED,NOT RATED,LOC,Unknown,Neg,Unknown,Grigsby Brandford & Company Inc,,,,,Morrison & Foerster,,,,,1.29,535500,,,,724500,,,,,,,,,,
1998-2032,Solano County,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/15/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Government,Teeter Plan,20000000,20000000,0,,Tax and revenue anticipation note,Other Purpose,General fund of issuing jurisdiction,,3.12,NIC,,,,12/15/1999 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Morgan Stanley & Co LLC,,,,The PFM Group/Public Financial Management Inc,Nossaman Guthner Knox & Elliott,,,,Solano County,0,0,,,,35182,,,,,,,,,,
1996-1874,Solano County,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,12/19/1996 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Government,Teeter Plan,10500000,10500000,0,,Tax and revenue anticipation note,Other Purpose,Property tax revenues,3.561,,TIC,,,,12/15/1997 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Comp,Unknown,Bank of America NT & SA,,,,The PFM Group/Public Financial Management Inc,O'Melveny & Myers,,,,Solano County,0,0,,,,0,,,,,,,,,,
2012-0019,Fairfield Housing Authority,2012-0019.pdf (http://cdiacdocs.sto.ca.gov/2012-0019.pdf),SOLD,01/05/2012 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Special Districts,Housing Authority,Creekside Estates,7635000,70971.05,7564028.95,70971.05,Conduit revenue bond,Single-Family Housing,Private obligor payments,,5.048,NIC,,,09/01/2022 12:00:00 AM,09/01/2029 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,NO,Stone & Youngberg/Stifel Nicolaus & Co,,,,,Jones Hall A Professional Law Corp,,,,The Bank of New York Mellon Trust Company NA,3.16,240997.84,,,,104829.55,,0,55000,,45000,,2735,0,0,33433.29
1986-0297,Fairfield-Suisun Unified School District,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,06/03/1986 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,556000,556000,0,,General obligation bond,K-12 School Facility,Property tax revenues,,5,NIC,,,,05/30/1987 12:00:00 AM,N/A,NOT RATED,M:Baa1,NOT RATED,NOT RATED,,,Comp,Unknown,Security Pacific Capital Markets Group,,,,,Jones Hall Hill & White,,,,,0,0,,,,0,,,,,,,,,,
1994-1273,Fairfield Housing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,08/01/1994 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Special Districts,Housing Authority,Creekside Estates Mobilehome Park,7125000,884896,6240104,,Conduit revenue bond,Single-Family Housing,Private obligor payments,,8.015,NIC,,,,02/01/2015 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,First Interstate Bank of California,,,,,Jones Hall Hill & White,,,,,5.01,356697,,,,0,,,,,,,,,,
1993-1797,Vallejo Industrial Development Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/21/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Special Districts,Industrial Development  Authority,Meyer Cookware Indus,9700000,9700000,0,,Conduit revenue bond,Industrial Development,Private obligor payments,,,VAR,,,,12/01/2023 12:00:00 AM,N/A,S:AA/A-1+,NOT RATED,NOT RATED,NOT RATED,LOC,Unknown,Neg,Unknown,Rauscher Pierce Refsness Inc,,,,Progressive Capital,Jones Hall Hill & White,,,,,0,0,,,,0,,,,,,,,,,
1985-1317,Fairfield Redevelopment Agency,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,12/30/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,Redevelopment Agency,Gateway Medical Plaza,5525000,5525000,0,,Conduit revenue bond,Commercial Development,Private obligor payments,10.375,,TIC,,,,12/01/1995 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Union Mutual Life Insurance Company,,,,,Jones Hall Hill & White,,,,,5.44,300440.21,,,,0,,,,,,,,,,
1994-1540,Vallejo Public Financing Authority,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,10/19/1994 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,,4000000,4000000,0,,Revenue anticipation note,"Cash Flow, Interim Financing",Intergovernmental transfers other than grants,5.183,,TIC,,Federally Taxable,,11/02/1995 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Vallejo Redevelopment Agency,,,,Rod Gunn Associates Inc,Jones Hall Hill & White,,,,,0,0,,,,0,,,,,,,,,,
1992-0360,Travis Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,09/23/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,Foxboro Elem,7895000,7895000,0,,Certificates of participation/leases,K-12 School Facility,General fund of issuing jurisdiction,,6.83,NIC,,,,,N/A,NOT RATED,M:Baa1,NOT RATED,NOT RATED,,,Comp,Unknown,Dean Witter Reynolds Inc,,,,Government Financial Strategies Inc,Kronick Moskovitz Tiedemann & Girard,,,,,0.14,11400,,,,69081.02,,,,,,,,,,
1998-1980,Vallejo,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,11/13/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Hiddenbrooke ID No 1998-1 Series A,28085000,0,28085000,,Limited tax obligation bond,"Multiple Capital Improvements, Public Works",Special tax revenues,,6.534,NIC,,,,09/01/2031 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Mark Pressman Associates,,,,Rod Gunn Associates Inc,Quint & Thimmig LLP,,,,Union Bank of California,2.26,634520,,,,631913,,,,,,,,,,
1986-0923,Vallejo,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,11/20/1986 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Marine World Foundation,13000000,13000000,0,,Certificates of participation/leases,Recreation and Sports Facilities,General fund of issuing jurisdiction,,7.455,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,O:none,,,Neg,Unknown,Security Pacific Capital Markets Group,,,,,Jones Hall Hill & White,,,,,1.15,148946.02,,,,357500,,,,,,,,,,
1998-0135,Vallejo,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/09/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,"Marina Vista I,II & Marina Heights Ser B",1645000,1645000,0,,Conduit revenue bond,Multifamily Housing,Private obligor payments,,8.317,NIC,,Subject to Alternative Minimum Tax,,04/01/2039 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Newman & Associates,,,,,Jones Hall A Professional Law Corp,,,,US Bank Corporate Trust Services,0,0,,,,0,,,,,,,,,,
1986-0124,Fairfield,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,05/02/1986 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Fairfield Water Utility,62964449,0,62964449,,Certificates of participation/leases,"Water Supply, Storage, Distribution",Public enterprise revenues,7.53,,TIC,,,,,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Unknown,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall Hill & White,,,,,1.96,1236890,,,,1227807,,,,,,,,,,
1993-1723,Fairfield-Suisun Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/28/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,4950000,4950000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Property tax revenues,,2.829,NIC,,,,11/03/1994 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Oppenheimer & Company Inc,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall Hill & White,,,,,0,0,,,,0,,,,,,,,,,
1989-0869,Intercommunity Hospital Financing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/27/1989 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,Northbay,41750000,13592500,28157500,,Certificates of participation/leases,"Other, Multiple Health Care Purposes (Equipment, etc.)",General fund of issuing jurisdiction,,7.809,NIC,,,,,N/A,S:BBB-,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Goldman Sachs & Company,,,,,Jones Hall Hill & White,,,,,0.22,92135,,,,626250,,,,,,,,,,
2004-1399,Vallejo Public Financing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,08/18/2004 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,Hiddenbrooke ID,22400000,1694812,20705188,,Revenue bond,"Multiple Capital Improvements, Public Works",Local obligations,,5.607,NIC,,,03/01/2013 12:00:00 AM,09/01/2031 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Wulff Hansen & Company,,,,Rod Gunn Associates Inc,Quint & Thimmig LLP,,,,Wells Fargo Bank National Association,3.03,678628,,,,448000,,86750,85000,,,,5500,,,53378
1998-0137,Vallejo,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/09/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,"Marina Vista I,II & Marina Heights Ser A",9875000,9875000,0,,Conduit revenue bond,Multifamily Housing,Private obligor payments,,5.482,NIC,,Subject to Alternative Minimum Tax,,11/20/2038 12:00:00 AM,N/A,NOT RATED,M:Aaa,NOT RATED,NOT RATED,,,Neg,Unknown,Newman & Associates,,,,,Jones Hall A Professional Law Corp,,,,US Bank Corporate Trust Services,2.75,272050,,,,0,,,,,,,,,,
1997-0054,Fairfield Redevelopment Agency,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,01/09/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,Redevelopment Agency,Cordelia Area,5290000,0,5290000,,Tax allocation note,"Redevelopment, Multiple Purposes",Tax increment,,8.006,NIC,,Federally Taxable,,07/01/2002 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall Hill & White,,,,First Trust of California NA,0.7,37114,,,,52900,,,,,,,,,,
1993-1730,Solano County,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,11/23/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Government,,18000000,18000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,3.25,,TIC,,,,11/01/1994 12:00:00 AM,N/A,S:SP-1+,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Grigsby Brandford & Company Inc,,,,,Wendel Rosen Black Dean & Levitan,,,,,0.2,36000,,,,0,,,,,,,,,,
2001-1272,Fairfield,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/27/2001 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,5410000,5410000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,2.751,NIC,,,,06/30/2002 12:00:00 AM,NO,S:SP1+,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall A Professional Law Corp,,,,Fairfield,0.48,26000,,,,,,,,,,,,,,
1987-0670,Rio Vista,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,07/02/1987 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Los Ulpinos AD,1400000,1400000,0,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,9.57,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,M L Stern & Company,,,,,Sturgis Ness Brunsell & Sperry,,,,,0,0,,,,56000,,,,,,,,,,
1993-0169,Solano County,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,03/10/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Government,Justice Fac,41530000,0,41530000,,Certificates of participation/leases,"Multiple Capital Improvements, Public Works",Other sources,,5.875,NIC,,,,,N/A,NOT RATED,M:Baa1,NOT RATED,NOT RATED,,Unknown,Neg,Unknown,Grigsby Brandford & Company Inc,,,,,Wendel Rosen Black Dean & Levitan,,,,,0.11,44795,,,,373770,,,,,,,,,,
2006-1532,Suisun City Redevelopment Agency,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,02/15/2007 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,Redevelopment Agency,Cottonwood Creek Apts,18045000,18045000,0,90225,Conduit revenue bond,Multifamily Housing,Private obligor payments,,,VAR,,Subject to Alternative Minimum Tax,02/16/2007 12:00:00 AM,02/01/2040 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Silicon Valley Bank,,,,,Quint & Thimmig LLP,,,,Silicon Valley Bank,,,,,,45000,,,,,,,,,,
1993-1601,Vallejo Public Financing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,11/09/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,,7915000,3900000,4015000,,Revenue anticipation note,"Cash Flow, Interim Financing",Other sources,3.788,,TIC,,,,11/01/1994 12:00:00 AM,N/A,S:SP-2,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Smith Barney Shearson Inc,,,,Rod Gunn Associates Inc,Jones Hall Hill & White,,,,,0.54,43000,,,,0,,,,,,,,,,
1997-1213,Fairfield-Suisun Unified School District CFD No 5,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/30/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,YES,1997-1216,Mello-Roos,Community Facilities District,,5380000,0,5380000,,Limited tax obligation bond,K-12 School Facility,Special tax revenues,,6.288,NIC,,Federally Taxable,,08/15/2022 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,,,Association of Bay Area Governments,,Andrew Ach & Associates Inc,Jones Hall A Professional Law Corp,,,,First Trust of California NA,0.73,39378,,,,201750,,,,,,,,,,
2002-1464,Fairfield-Suisun Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/18/2002 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,45000000,45000000,0,693261,General obligation bond,K-12 School Facility,Property tax revenues,4.727,,TIC,,,08/01/2012 12:00:00 AM,08/01/2027 12:00:00 AM,NO,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Neg,Unknown,Salomon Smith Barney,,,,Northcross Hill & Ach,Kronick Moskovitz Tiedemann & Girard,,,,State Street Bank & Trust Company,1.46,657573,,,,391963,,44190,29800,,,,1000,90000,31050,69570
1999-0767,Vallejo,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/22/1999 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,7890000,1056469,6833531,,Public enterprise revenue bond,"Water Supply, Storage, Distribution",Public enterprise revenues,,5.381,NIC,,,,05/01/2029 12:00:00 AM,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,OConnor & Company Securities Inc,,,,Rod Gunn Associates Inc,Quint & Thimmig LLP,,,,BNY Mellon Capital Markets LLC,3.77,297551,,,,118350,,,,,,,,,,
1991-1082,Vacaville,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/16/1991 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Lower Lagoon Vly AD Series 1991-C,4870000,4870000,0,,Bond anticipation note,"Multiple Capital Improvements, Public Works",Bond proceeds,,5.98,NIC,,,,05/01/1993 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Wedbush Morgan Securities Inc,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall Hill & White,,,,,0,0,,,,0,,,,,,,,,,
1987-0980,Fairfield Municipal Park Improvement District No 1,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,01/13/1988 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Special Districts,Park & Recreation District,,7320000,7320000,0,,General obligation bond,Recreation and Sports Facilities,Tax increment,,10.52,NIC,,Federally Taxable,,,N/A,S:AAA,NOT RATED,NOT RATED,NOT RATED,Ins,Unknown,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall Hill & White,,,,,2.33,170566,,,,146400,,,,,,,,,,
