country,year,sex,age,suicides,population, gdp,generation
Chile,2013,male,25-34 years,298,1359760,"278,384,332,694",Millenials
Chile,2013,male,35-54 years,516,2389789,"278,384,332,694",Generation X
Chile,2013,male,15-24 years,224,1425807,"278,384,332,694",Millenials
Chile,2013,female,35-54 years,130,2401833,"278,384,332,694",Generation X
Chile,2013,female,15-24 years,60,1370723,"278,384,332,694",Millenials
Chile,2013,female,25-34 years,52,1318935,"278,384,332,694",Millenials
Chile,2013,female,55-74 years,54,1445681,"278,384,332,694",Boomers
Chile,2013,female,75+ years,14,442189,"278,384,332,694",Silent
Chile,2013,male,5-14 years,12,1285975,"278,384,332,694",Generation Z
Chile,2013,female,5-14 years,8,1238965,"278,384,332,694",Generation Z
Chile,2014,male,75+ years,92,273608,"260,584,090,571",Silent
Chile,2014,male,55-74 years,308,1345116,"260,584,090,571",Boomers
Chile,2014,male,35-54 years,536,2408469,"260,584,090,571",Generation X
Chile,2014,male,25-34 years,289,1384843,"260,584,090,571",Millenials
Chile,2014,male,15-24 years,238,1413924,"260,584,090,571",Millenials
Chile,2014,female,35-54 years,127,2417192,"260,584,090,571",Generation X
Chile,2014,female,25-34 years,60,1340788,"260,584,090,571",Millenials
Chile,2014,female,15-24 years,58,1357865,"260,584,090,571",Millenials
Chile,2014,female,55-74 years,52,1494867,"260,584,090,571",Boomers
Chile,2014,female,75+ years,8,455627,"260,584,090,571",Silent
Chile,2014,male,5-14 years,12,1280751,"260,584,090,571",Generation Z
Chile,2014,female,5-14 years,9,1233817,"260,584,090,571",Generation Z
Chile,2015,male,75+ years,117,282308,"243,999,477,738",Silent
Chile,2015,male,55-74 years,301,1394272,"243,999,477,738",Boomers
Chile,2015,male,35-54 years,513,2426719,"243,999,477,738",Generation X
Chile,2015,male,25-34 years,296,1406921,"243,999,477,738",Millenials
Chile,2015,male,15-24 years,224,1400822,"243,999,477,738",Millenials
Chile,2015,female,35-54 years,136,2431495,"243,999,477,738",Generation X
Chile,2015,female,55-74 years,78,1544550,"243,999,477,738",Boomers
Chile,2015,female,25-34 years,66,1359598,"243,999,477,738",Millenials
Chile,2015,female,15-24 years,64,1343941,"243,999,477,738",Millenials
Chile,2015,female,75+ years,21,470618,"243,999,477,738",Silent
Chile,2015,female,5-14 years,13,1228869,"243,999,477,738",Generation Z
Chile,2015,male,5-14 years,9,1275612,"243,999,477,738",Generation Z
Colombia,1985,male,75+ years,21,123400,"34,894,411,352",G.I. Generation
Colombia,1985,male,55-74 years,113,1015200,"34,894,411,352",G.I. Generation
Colombia,1985,male,25-34 years,193,2323700,"34,894,411,352",Boomers
Colombia,1985,male,15-24 years,256,3190200,"34,894,411,352",Generation X
Colombia,1985,male,35-54 years,188,2451100,"34,894,411,352",Silent
Colombia,1985,female,15-24 years,117,3140700,"34,894,411,352",Generation X
Colombia,1985,female,25-34 years,45,2276100,"34,894,411,352",Boomers
Colombia,1985,female,75+ years,3,174000,"34,894,411,352",G.I. Generation
Colombia,1985,female,35-54 years,31,2403500,"34,894,411,352",Silent
Colombia,1985,female,55-74 years,12,1150600,"34,894,411,352",G.I. Generation
Colombia,1985,male,5-14 years,12,3443900,"34,894,411,352",Generation X
Colombia,1985,female,5-14 years,10,3360000,"34,894,411,352",Generation X
Colombia,1986,male,75+ years,13,126000,"34,942,489,684",G.I. Generation
Colombia,1986,male,15-24 years,260,3258100,"34,942,489,684",Generation X
Colombia,1986,male,25-34 years,189,2373200,"34,942,489,684",Boomers
Colombia,1986,male,55-74 years,81,1036800,"34,942,489,684",G.I. Generation
Colombia,1986,male,35-54 years,187,2503200,"34,942,489,684",Silent
Colombia,1986,female,15-24 years,121,3207600,"34,942,489,684",Generation X
Colombia,1986,female,25-34 years,48,2324500,"34,942,489,684",Boomers
Colombia,1986,female,55-74 years,13,1175000,"34,942,489,684",G.I. Generation
Colombia,1986,female,35-54 years,26,2454600,"34,942,489,684",Silent
Colombia,1986,female,5-14 years,10,3431600,"34,942,489,684",Generation X
Colombia,1986,male,5-14 years,10,3517300,"34,942,489,684",Generation X
Colombia,1986,female,75+ years,0,177700,"34,942,489,684",G.I. Generation
Colombia,1987,male,15-24 years,301,3533143,"36,373,307,085",Generation X
Colombia,1987,male,55-74 years,86,1044703,"36,373,307,085",G.I. Generation
Colombia,1987,male,75+ years,14,183612,"36,373,307,085",G.I. Generation
Colombia,1987,male,25-34 years,192,2615813,"36,373,307,085",Boomers
Colombia,1987,male,35-54 years,147,2567656,"36,373,307,085",Silent
Colombia,1987,female,15-24 years,118,3468807,"36,373,307,085",Generation X
Colombia,1987,female,25-34 years,29,2651735,"36,373,307,085",Boomers
Colombia,1987,female,35-54 years,27,2755678,"36,373,307,085",Silent
Colombia,1987,female,55-74 years,10,1210423,"36,373,307,085",G.I. Generation
Colombia,1987,female,75+ years,2,257621,"36,373,307,085",G.I. Generation
Colombia,1987,male,5-14 years,16,3924075,"36,373,307,085",Generation X
Colombia,1987,female,5-14 years,9,3796166,"36,373,307,085",Generation X
Colombia,1988,male,75+ years,27,190910,"39,212,550,050",G.I. Generation
Colombia,1988,male,25-34 years,214,2696739,"39,212,550,050",Boomers
Colombia,1988,male,55-74 years,83,1069673,"39,212,550,050",G.I. Generation
Colombia,1988,male,15-24 years,243,3543715,"39,212,550,050",Generation X
Colombia,1988,male,35-54 years,160,2682795,"39,212,550,050",Silent
Colombia,1988,female,15-24 years,85,3480840,"39,212,550,050",Generation X
Colombia,1988,female,75+ years,6,268303,"39,212,550,050",G.I. Generation
Colombia,1988,female,25-34 years,41,2734383,"39,212,550,050",Boomers
Colombia,1988,female,35-54 years,26,2877134,"39,212,550,050",Silent
Colombia,1988,male,5-14 years,14,3998496,"39,212,550,050",Generation X
Colombia,1988,female,55-74 years,4,1240926,"39,212,550,050",G.I. Generation
Colombia,1988,female,5-14 years,9,3865587,"39,212,550,050",Generation X
Colombia,1989,male,75+ years,17,197086,"39,540,080,200",G.I. Generation
Colombia,1989,male,55-74 years,87,1096341,"39,540,080,200",G.I. Generation
Colombia,1989,male,25-34 years,194,2777676,"39,540,080,200",Boomers
Colombia,1989,male,35-54 years,152,2802188,"39,540,080,200",Silent
Colombia,1989,male,15-24 years,191,3551741,"39,540,080,200",Generation X
Colombia,1989,female,15-24 years,78,3489146,"39,540,080,200",Generation X
Colombia,1989,female,25-34 years,45,2817903,"39,540,080,200",Boomers
Colombia,1989,female,75+ years,4,278074,"39,540,080,200",G.I. Generation
Colombia,1989,female,35-54 years,34,3003700,"39,540,080,200",Silent
Colombia,1989,female,5-14 years,13,3932480,"39,540,080,200",Generation X
Colombia,1989,female,55-74 years,4,1273639,"39,540,080,200",G.I. Generation
Colombia,1989,male,5-14 years,12,4069855,"39,540,080,200",Generation X
Colombia,1990,male,75+ years,21,202048,"40,274,204,595",G.I. Generation
Colombia,1990,male,55-74 years,85,1124943,"40,274,204,595",G.I. Generation
Colombia,1990,male,15-24 years,220,3562908,"40,274,204,595",Generation X
Colombia,1990,male,25-34 years,174,2859281,"40,274,204,595",Boomers
Colombia,1990,male,35-54 years,153,2924679,"40,274,204,595",Silent
Colombia,1990,female,15-24 years,95,3499435,"40,274,204,595",Generation X
Colombia,1990,female,25-34 years,41,2902786,"40,274,204,595",Boomers
Colombia,1990,female,35-54 years,40,3134518,"40,274,204,595",Silent
Colombia,1990,female,55-74 years,14,1308768,"40,274,204,595",G.I. Generation
Colombia,1990,female,75+ years,3,286894,"40,274,204,595",G.I. Generation
Colombia,1990,male,5-14 years,12,4132729,"40,274,204,595",Generation X
Colombia,1990,female,5-14 years,7,3991984,"40,274,204,595",Generation X
Colombia,1991,male,15-24 years,280,3569610,"41,239,551,378",Generation X
Colombia,1991,male,55-74 years,89,1152018,"41,239,551,378",Silent
Colombia,1991,male,25-34 years,216,2944422,"41,239,551,378",Boomers
Colombia,1991,male,75+ years,14,210787,"41,239,551,378",G.I. Generation
Colombia,1991,male,35-54 years,175,3053490,"41,239,551,378",Boomers
Colombia,1991,female,15-24 years,100,3511813,"41,239,551,378",Generation X
Colombia,1991,female,25-34 years,54,2991721,"41,239,551,378",Boomers
Colombia,1991,female,35-54 years,36,3271390,"41,239,551,378",Boomers
Colombia,1991,female,75+ years,3,298517,"41,239,551,378",G.I. Generation
Colombia,1991,female,55-74 years,10,1341052,"41,239,551,378",Silent
Colombia,1991,male,5-14 years,24,4191827,"41,239,551,378",Millenials
Colombia,1991,female,5-14 years,9,4047531,"41,239,551,378",Millenials
Colombia,1992,male,55-74 years,108,1154900,"49,279,585,355",Silent
Colombia,1992,male,75+ years,20,215800,"49,279,585,355",G.I. Generation
Colombia,1992,male,25-34 years,251,2922400,"49,279,585,355",Boomers
Colombia,1992,male,15-24 years,274,3373400,"49,279,585,355",Generation X
Colombia,1992,male,35-54 years,180,3058800,"49,279,585,355",Boomers
Colombia,1992,female,15-24 years,111,3331300,"49,279,585,355",Generation X
Colombia,1992,female,25-34 years,53,2997700,"49,279,585,355",Boomers
Colombia,1992,female,35-54 years,48,3267600,"49,279,585,355",Boomers
Colombia,1992,female,55-74 years,6,1315300,"49,279,585,355",Silent
Colombia,1992,female,5-14 years,17,3786400,"49,279,585,355",Millenials
Colombia,1992,male,5-14 years,17,3917400,"49,279,585,355",Millenials
Colombia,1992,female,75+ years,1,274400,"49,279,585,355",G.I. Generation
Colombia,1993,male,75+ years,22,222900,"55,802,538,219",G.I. Generation
Colombia,1993,male,55-74 years,108,1184100,"55,802,538,219",Silent
Colombia,1993,male,15-24 years,279,3377300,"55,802,538,219",Generation X
Colombia,1993,male,25-34 years,226,3015600,"55,802,538,219",Boomers
Colombia,1993,male,35-54 years,215,3186600,"55,802,538,219",Boomers
Colombia,1993,female,15-24 years,101,3332600,"55,802,538,219",Generation X
Colombia,1993,female,25-34 years,53,3088400,"55,802,538,219",Boomers
Colombia,1993,female,55-74 years,16,1348500,"55,802,538,219",Silent
Colombia,1993,female,35-54 years,36,3406300,"55,802,538,219",Boomers
Colombia,1993,male,5-14 years,21,3965600,"55,802,538,219",Millenials
Colombia,1993,female,5-14 years,8,3830500,"55,802,538,219",Millenials
Colombia,1993,female,75+ years,0,283800,"55,802,538,219",G.I. Generation
Colombia,1994,male,75+ years,31,230500,"81,703,500,846",G.I. Generation
Colombia,1994,male,15-24 years,313,3391100,"81,703,500,846",Generation X
Colombia,1994,male,55-74 years,110,1214600,"81,703,500,846",Silent
Colombia,1994,male,25-34 years,247,3094400,"81,703,500,846",Boomers
Colombia,1994,male,35-54 years,216,3320000,"81,703,500,846",Boomers
Colombia,1994,female,15-24 years,130,3343400,"81,703,500,846",Generation X
Colombia,1994,female,25-34 years,59,3164600,"81,703,500,846",Boomers
Colombia,1994,female,55-74 years,19,1382700,"81,703,500,846",Silent
Colombia,1994,female,35-54 years,44,3551000,"81,703,500,846",Boomers
Colombia,1994,female,75+ years,2,293900,"81,703,500,846",G.I. Generation
Colombia,1994,female,5-14 years,14,3874700,"81,703,500,846",Millenials
Colombia,1994,male,5-14 years,13,4013700,"81,703,500,846",Millenials
Colombia,1995,male,75+ years,27,237128,"92,507,279,383",G.I. Generation
Colombia,1995,male,55-74 years,110,1280826,"92,507,279,383",Silent
Colombia,1995,male,25-34 years,253,3221761,"92,507,279,383",Generation X
Colombia,1995,male,15-24 years,271,3657416,"92,507,279,383",Generation X
Colombia,1995,male,35-54 years,213,3599535,"92,507,279,383",Boomers
Colombia,1995,female,15-24 years,116,3602418,"92,507,279,383",Generation X
Colombia,1995,female,25-34 years,55,3296038,"92,507,279,383",Generation X
Colombia,1995,female,35-54 years,63,3860918,"92,507,279,383",Boomers
Colombia,1995,female,55-74 years,16,1495950,"92,507,279,383",Silent
Colombia,1995,male,5-14 years,15,4330243,"92,507,279,383",Millenials
Colombia,1995,female,75+ years,1,337540,"92,507,279,383",G.I. Generation
Colombia,1995,female,5-14 years,10,4171126,"92,507,279,383",Millenials
Colombia,1996,male,75+ years,33,248909,"97,160,109,278",G.I. Generation
Colombia,1996,male,55-74 years,124,1313132,"97,160,109,278",Silent
Colombia,1996,male,15-24 years,289,3707736,"97,160,109,278",Generation X
Colombia,1996,male,35-54 years,259,3749624,"97,160,109,278",Boomers
Colombia,1996,male,25-34 years,225,3258034,"97,160,109,278",Generation X
Colombia,1996,female,15-24 years,121,3651707,"97,160,109,278",Generation X
Colombia,1996,female,25-34 years,58,3336435,"97,160,109,278",Generation X
Colombia,1996,female,35-54 years,44,4021393,"97,160,109,278",Boomers
Colombia,1996,female,55-74 years,15,1533960,"97,160,109,278",Silent
Colombia,1996,female,75+ years,3,352470,"97,160,109,278",G.I. Generation
Colombia,1996,male,5-14 years,21,4344969,"97,160,109,278",Millenials
Colombia,1996,female,5-14 years,17,4185267,"97,160,109,278",Millenials
Colombia,1997,male,75+ years,34,260440,"106,659,508,271",G.I. Generation
Colombia,1997,male,55-74 years,117,1349163,"106,659,508,271",Silent
Colombia,1997,male,15-24 years,315,3775597,"106,659,508,271",Generation X
Colombia,1997,male,25-34 years,242,3280278,"106,659,508,271",Generation X
Colombia,1997,male,35-54 years,234,3906804,"106,659,508,271",Boomers
Colombia,1997,female,15-24 years,117,3716547,"106,659,508,271",Generation X
Colombia,1997,female,25-34 years,70,3362418,"106,659,508,271",Generation X
Colombia,1997,female,35-54 years,57,4189374,"106,659,508,271",Boomers
Colombia,1997,female,55-74 years,17,1575903,"106,659,508,271",Silent
Colombia,1997,female,75+ years,3,367426,"106,659,508,271",G.I. Generation
Colombia,1997,male,5-14 years,19,4358250,"106,659,508,271",Millenials
Colombia,1997,female,5-14 years,17,4196625,"106,659,508,271",Millenials
Colombia,1998,male,75+ years,51,271456,"98,443,739,941",G.I. Generation
Colombia,1998,male,15-24 years,507,3853955,"98,443,739,941",Generation X
Colombia,1998,male,55-74 years,182,1390023,"98,443,739,941",Silent
Colombia,1998,male,25-34 years,402,3292463,"98,443,739,941",Generation X
Colombia,1998,male,35-54 years,374,4068675,"98,443,739,941",Boomers
Colombia,1998,female,15-24 years,247,3789996,"98,443,739,941",Generation X
Colombia,1998,female,25-34 years,97,3377856,"98,443,739,941",Generation X
Colombia,1998,female,35-54 years,88,4362525,"98,443,739,941",Boomers
Colombia,1998,female,5-14 years,47,4205288,"98,443,739,941",Millenials
Colombia,1998,female,55-74 years,18,1623053,"98,443,739,941",Silent
Colombia,1998,male,5-14 years,36,4369564,"98,443,739,941",Millenials
Colombia,1998,female,75+ years,3,382185,"98,443,739,941",G.I. Generation
Colombia,1999,male,75+ years,53,281533,"86,186,158,685",G.I. Generation
Colombia,1999,male,55-74 years,217,1437035,"86,186,158,685",Silent
Colombia,1999,male,15-24 years,506,3930904,"86,186,158,685",Generation X
Colombia,1999,male,25-34 years,414,3300918,"86,186,158,685",Generation X
Colombia,1999,male,35-54 years,425,4231334,"86,186,158,685",Boomers
Colombia,1999,female,15-24 years,240,3860670,"86,186,158,685",Generation X
Colombia,1999,female,25-34 years,97,3388982,"86,186,158,685",Generation X
Colombia,1999,female,35-54 years,90,4537037,"86,186,158,685",Boomers
Colombia,1999,female,5-14 years,46,4210355,"86,186,158,685",Millenials
Colombia,1999,female,55-74 years,17,1676984,"86,186,158,685",Silent
Colombia,1999,male,5-14 years,35,4377335,"86,186,158,685",Millenials
Colombia,1999,female,75+ years,3,396321,"86,186,158,685",G.I. Generation
Colombia,2000,male,75+ years,60,290481,"99,886,577,331",G.I. Generation
Colombia,2000,male,15-24 years,629,3998961,"99,886,577,331",Generation X
Colombia,2000,male,55-74 years,198,1491171,"99,886,577,331",Silent
Colombia,2000,male,25-34 years,438,3310535,"99,886,577,331",Generation X
Colombia,2000,male,35-54 years,453,4391802,"99,886,577,331",Boomers
Colombia,2000,female,15-24 years,262,3921422,"99,886,577,331",Generation X
Colombia,2000,female,25-34 years,96,3400584,"99,886,577,331",Generation X
Colombia,2000,female,35-54 years,99,4710061,"99,886,577,331",Boomers
Colombia,2000,female,75+ years,6,409711,"99,886,577,331",G.I. Generation
Colombia,2000,female,5-14 years,57,4209864,"99,886,577,331",Millenials
Colombia,2000,female,55-74 years,23,1738797,"99,886,577,331",Silent
Colombia,2000,male,5-14 years,37,4378953,"99,886,577,331",Millenials
Colombia,2001,male,75+ years,54,304065,"98,203,546,156",Silent
Colombia,2001,male,55-74 years,234,1547265,"98,203,546,156",Silent
Colombia,2001,male,15-24 years,602,4057598,"98,203,546,156",Millenials
Colombia,2001,male,25-34 years,439,3328209,"98,203,546,156",Generation X
Colombia,2001,male,35-54 years,491,4555809,"98,203,546,156",Boomers
Colombia,2001,female,15-24 years,302,3976430,"98,203,546,156",Millenials
Colombia,2001,female,25-34 years,105,3416780,"98,203,546,156",Generation X
Colombia,2001,female,55-74 years,30,1803020,"98,203,546,156",Silent
Colombia,2001,female,35-54 years,71,4884700,"98,203,546,156",Boomers
Colombia,2001,female,5-14 years,45,4206893,"98,203,546,156",Millenials
Colombia,2001,female,75+ years,4,427591,"98,203,546,156",Silent
Colombia,2001,male,5-14 years,35,4376068,"98,203,546,156",Millenials
Colombia,2002,male,75+ years,48,316252,"97,933,391,976",Silent
Colombia,2002,male,15-24 years,590,4104822,"97,933,391,976",Millenials
Colombia,2002,male,25-34 years,460,3344207,"97,933,391,976",Generation X
Colombia,2002,male,55-74 years,177,1609818,"97,933,391,976",Silent
Colombia,2002,male,35-54 years,487,4717038,"97,933,391,976",Boomers
Colombia,2002,female,15-24 years,295,4019790,"97,933,391,976",Millenials
Colombia,2002,female,25-34 years,92,3430874,"97,933,391,976",Generation X
Colombia,2002,female,35-54 years,81,5056712,"97,933,391,976",Boomers
Colombia,2002,female,5-14 years,64,4195227,"97,933,391,976",Millenials
Colombia,2002,female,55-74 years,28,1874594,"97,933,391,976",Silent
Colombia,2002,male,5-14 years,53,4364710,"97,933,391,976",Millenials
Colombia,2002,female,75+ years,4,444232,"97,933,391,976",Silent
Colombia,2003,male,75+ years,49,327352,"94,684,584,163",Silent
Colombia,2003,male,55-74 years,235,1679338,"94,684,584,163",Silent
Colombia,2003,male,25-34 years,424,3363500,"94,684,584,163",Generation X
Colombia,2003,male,15-24 years,508,4143231,"94,684,584,163",Millenials
Colombia,2003,male,35-54 years,441,4872021,"94,684,584,163",Boomers
Colombia,2003,female,15-24 years,299,4053688,"94,684,584,163",Millenials
Colombia,2003,female,25-34 years,93,3447910,"94,684,584,163",Generation X
Colombia,2003,female,35-54 years,96,5222660,"94,684,584,163",Boomers
Colombia,2003,female,55-74 years,35,1953968,"94,684,584,163",Silent
Colombia,2003,female,75+ years,6,460065,"94,684,584,163",Silent
Colombia,2003,female,5-14 years,48,4175544,"94,684,584,163",Millenials
Colombia,2003,male,5-14 years,35,4345236,"94,684,584,163",Millenials
Colombia,2004,male,75+ years,74,337747,"117,074,863,822",Silent
Colombia,2004,male,55-74 years,229,1756739,"117,074,863,822",Silent
Colombia,2004,male,15-24 years,522,4177514,"117,074,863,822",Millenials
Colombia,2004,male,25-34 years,397,3393144,"117,074,863,822",Generation X
Colombia,2004,male,35-54 years,465,5016477,"117,074,863,822",Boomers
Colombia,2004,female,15-24 years,246,4082601,"117,074,863,822",Millenials
Colombia,2004,female,25-34 years,91,3474885,"117,074,863,822",Generation X
Colombia,2004,female,75+ years,9,475649,"117,074,863,822",Silent
Colombia,2004,female,35-54 years,85,5378213,"117,074,863,822",Boomers
Colombia,2004,female,55-74 years,29,2041937,"117,074,863,822",Silent
Colombia,2004,male,5-14 years,56,4319787,"117,074,863,822",Millenials
Colombia,2004,female,5-14 years,41,4150023,"117,074,863,822",Millenials
Colombia,2005,male,75+ years,63,347667,"146,566,264,837",Silent
Colombia,2005,male,15-24 years,517,4209960,"146,566,264,837",Millenials
Colombia,2005,male,55-74 years,219,1842503,"146,566,264,837",Silent
Colombia,2005,male,25-34 years,352,3436781,"146,566,264,837",Generation X
Colombia,2005,male,35-54 years,434,5147445,"146,566,264,837",Boomers
Colombia,2005,female,15-24 years,225,4108824,"146,566,264,837",Millenials
Colombia,2005,female,25-34 years,93,3515419,"146,566,264,837",Generation X
Colombia,2005,female,35-54 years,87,5520328,"146,566,264,837",Boomers
Colombia,2005,female,55-74 years,27,2138822,"146,566,264,837",Silent
Colombia,2005,male,5-14 years,52,4291635,"146,566,264,837",Millenials
Colombia,2005,female,75+ years,5,491399,"146,566,264,837",Silent
Colombia,2005,female,5-14 years,28,4122007,"146,566,264,837",Millenials
Colombia,2006,male,75+ years,78,363411,"162,590,146,096",Silent
Colombia,2006,male,15-24 years,521,4229825,"162,590,146,096",Millenials
Colombia,2006,male,25-34 years,408,3492325,"162,590,146,096",Generation X
Colombia,2006,male,55-74 years,211,1925991,"162,590,146,096",Silent
Colombia,2006,male,35-54 years,453,5261515,"162,590,146,096",Boomers
Colombia,2006,female,15-24 years,197,4126897,"162,590,146,096",Millenials
Colombia,2006,female,25-34 years,96,3566953,"162,590,146,096",Generation X
Colombia,2006,female,35-54 years,90,5642326,"162,590,146,096",Boomers
Colombia,2006,female,55-74 years,33,2234226,"162,590,146,096",Silent
Colombia,2006,male,5-14 years,46,4260456,"162,590,146,096",Millenials
Colombia,2006,female,5-14 years,40,4092360,"162,590,146,096",Millenials
Colombia,2006,female,75+ years,4,512391,"162,590,146,096",Silent
Colombia,2007,male,75+ years,67,378405,"207,416,494,642",Silent
Colombia,2007,male,55-74 years,245,2018827,"207,416,494,642",Silent
Colombia,2007,male,15-24 years,493,4248033,"207,416,494,642",Millenials
Colombia,2007,male,25-34 years,410,3562854,"207,416,494,642",Generation X
Colombia,2007,male,35-54 years,475,5364516,"207,416,494,642",Boomers
Colombia,2007,female,15-24 years,208,4142290,"207,416,494,642",Millenials
Colombia,2007,female,25-34 years,105,3633920,"207,416,494,642",Generation X
Colombia,2007,female,35-54 years,82,5752377,"207,416,494,642",Boomers
Colombia,2007,female,5-14 years,40,4066699,"207,416,494,642",Generation Z
Colombia,2007,male,5-14 years,37,4234298,"207,416,494,642",Generation Z
Colombia,2007,female,55-74 years,16,2339825,"207,416,494,642",Silent
Colombia,2007,female,75+ years,3,533162,"207,416,494,642",Silent
Colombia,2008,male,75+ years,69,392608,"243,982,437,871",Silent
Colombia,2008,male,55-74 years,250,2119709,"243,982,437,871",Silent
Colombia,2008,male,25-34 years,417,3641000,"243,982,437,871",Generation X
Colombia,2008,male,15-24 years,479,4263159,"243,982,437,871",Millenials
Colombia,2008,male,35-54 years,510,5459636,"243,982,437,871",Boomers
Colombia,2008,female,15-24 years,206,4153413,"243,982,437,871",Millenials
Colombia,2008,female,25-34 years,85,3709016,"243,982,437,871",Generation X
Colombia,2008,female,35-54 years,82,5853848,"243,982,437,871",Boomers
Colombia,2008,male,5-14 years,47,4213275,"243,982,437,871",Generation Z
Colombia,2008,female,55-74 years,27,2454148,"243,982,437,871",Silent
Colombia,2008,female,5-14 years,43,4045559,"243,982,437,871",Generation Z
Colombia,2008,female,75+ years,5,553758,"243,982,437,871",Silent
Colombia,2009,male,75+ years,72,405866,"233,821,670,544",Silent
Colombia,2009,male,25-34 years,426,3715402,"233,821,670,544",Generation X
Colombia,2009,male,55-74 years,252,2226378,"233,821,670,544",Silent
Colombia,2009,male,15-24 years,481,4272494,"233,821,670,544",Millenials
Colombia,2009,male,35-54 years,517,5552239,"233,821,670,544",Boomers
Colombia,2009,female,15-24 years,207,4157810,"233,821,670,544",Millenials
Colombia,2009,female,25-34 years,72,3780652,"233,821,670,544",Generation X
Colombia,2009,female,55-74 years,46,2574750,"233,821,670,544",Silent
Colombia,2009,female,35-54 years,87,5952480,"233,821,670,544",Boomers
Colombia,2009,male,5-14 years,54,4196033,"233,821,670,544",Generation Z
Colombia,2009,female,5-14 years,32,4027989,"233,821,670,544",Generation Z
Colombia,2009,female,75+ years,3,574080,"233,821,670,544",Silent
Colombia,2010,male,75+ years,65,418296,"287,018,184,638",Silent
Colombia,2010,male,25-34 years,436,3779392,"287,018,184,638",Generation X
Colombia,2010,male,15-24 years,480,4274849,"287,018,184,638",Millenials
Colombia,2010,male,55-74 years,225,2337537,"287,018,184,638",Silent
Colombia,2010,male,35-54 years,463,5646115,"287,018,184,638",Generation X
Colombia,2010,female,15-24 years,187,4154664,"287,018,184,638",Millenials
Colombia,2010,female,25-34 years,78,3841659,"287,018,184,638",Generation X
Colombia,2010,female,35-54 years,72,6052417,"287,018,184,638",Generation X
Colombia,2010,male,5-14 years,41,4178908,"287,018,184,638",Generation Z
Colombia,2010,female,5-14 years,39,4010759,"287,018,184,638",Generation Z
Colombia,2010,female,75+ years,5,594329,"287,018,184,638",Silent
Colombia,2010,female,55-74 years,16,2700178,"287,018,184,638",Silent
Colombia,2011,male,75+ years,60,436385,"335,415,156,702",Silent
Colombia,2011,male,15-24 years,450,4268385,"335,415,156,702",Millenials
Colombia,2011,male,25-34 years,382,3840952,"335,415,156,702",Millenials
Colombia,2011,male,55-74 years,231,2445112,"335,415,156,702",Boomers
Colombia,2011,male,35-54 years,498,5745871,"335,415,156,702",Generation X
Colombia,2011,female,15-24 years,159,4147875,"335,415,156,702",Millenials
Colombia,2011,female,25-34 years,69,3897562,"335,415,156,702",Millenials
Colombia,2011,female,35-54 years,87,6156452,"335,415,156,702",Generation X
Colombia,2011,female,55-74 years,29,2822325,"335,415,156,702",Boomers
Colombia,2011,male,5-14 years,41,4163139,"335,415,156,702",Generation Z
Colombia,2011,female,5-14 years,34,3995726,"335,415,156,702",Generation Z
Colombia,2011,female,75+ years,4,618521,"335,415,156,702",Silent
Colombia,2012,male,75+ years,69,453582,"369,659,700,376",Silent
Colombia,2012,male,15-24 years,486,4254495,"369,659,700,376",Millenials
Colombia,2012,male,25-34 years,412,3891260,"369,659,700,376",Millenials
Colombia,2012,male,55-74 years,266,2556199,"369,659,700,376",Boomers
Colombia,2012,male,35-54 years,455,5846650,"369,659,700,376",Generation X
Colombia,2012,female,15-24 years,151,4133625,"369,659,700,376",Millenials
Colombia,2012,female,25-34 years,73,3942505,"369,659,700,376",Millenials
Colombia,2012,female,55-74 years,41,2948489,"369,659,700,376",Boomers
Colombia,2012,female,35-54 years,83,6261133,"369,659,700,376",Generation X
Colombia,2012,male,5-14 years,44,4146398,"369,659,700,376",Generation Z
Colombia,2012,female,75+ years,6,642251,"369,659,700,376",Silent
Colombia,2012,female,5-14 years,33,3979277,"369,659,700,376",Generation Z
Colombia,2013,male,75+ years,69,470105,"380,191,881,860",Silent
Colombia,2013,male,15-24 years,450,4235904,"380,191,881,860",Millenials
Colombia,2013,male,55-74 years,260,2672132,"380,191,881,860",Boomers
Colombia,2013,male,25-34 years,381,3931611,"380,191,881,860",Millenials
Colombia,2013,male,35-54 years,462,5947520,"380,191,881,860",Generation X
Colombia,2013,female,15-24 years,141,4114036,"380,191,881,860",Millenials
Colombia,2013,female,25-34 years,81,3977885,"380,191,881,860",Millenials
Colombia,2013,female,35-54 years,101,6365459,"380,191,881,860",Generation X
Colombia,2013,female,55-74 years,41,3079952,"380,191,881,860",Boomers
Colombia,2013,male,5-14 years,41,4126269,"380,191,881,860",Generation Z
Colombia,2013,female,5-14 years,36,3959475,"380,191,881,860",Generation Z
Colombia,2013,female,75+ years,5,665950,"380,191,881,860",Silent
Colombia,2014,male,75+ years,83,486197,"378,195,716,714",Silent
Colombia,2014,male,15-24 years,480,4216293,"378,195,716,714",Millenials
Colombia,2014,male,55-74 years,283,2795271,"378,195,716,714",Boomers
Colombia,2014,male,25-34 years,395,3965410,"378,195,716,714",Millenials
Colombia,2014,male,35-54 years,477,6046987,"378,195,716,714",Generation X
Colombia,2014,female,15-24 years,132,4092325,"378,195,716,714",Millenials
Colombia,2014,female,25-34 years,82,4007103,"378,195,716,714",Millenials
Colombia,2014,female,55-74 years,43,3219142,"378,195,716,714",Boomers
